ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6,recommendation7,recommendation8,recommendation9,recommendation10,recommendation11,recommendation12,recommendation13,recommendation14,recommendation15,recommendation16,recommendation17,recommendation18,recommendation19,recommendation20,recommendation21,recommendation22,recommendation23,recommendation24,recommendation25,recommendation26,recommendation27,recommendation28
161533,Lisboa,2017,60,8.2,7.678,7845,/boardgame/161533/lisboa,https://cf.geekdo-images.com/OrHS8_a1CqSGiXeTfCk0Wg__micro/img/rpfZR0COMOP41SI2EZPrSrX_LL8=/fit-in/64x64/filters:strip_icc()/pic3209553.jpg,125153,175640,284378,184267,310873,237179,251247,220308,325022,229853,142379,224517,163068,269511,364011,300322,297030,338760,280480,256730,247763,203993,193738,276025,172386,281442,359438,35677
25613,Through the Ages: A Story of Civilization,2006,61,7.9,7.677,18359,/boardgame/25613/through-ages-story-civilization,https://cf.geekdo-images.com/3piN3YX4WmBRuIvbEG2Ygg__micro/img/xy_566fY112BYtYJjT29cfAcHsk=/fit-in/64x64/filters:strip_icc()/pic236169.jpg,31260,3076,120677,20551,18602,28143,,,,,,,,,,,,,,,,,,,,,,
244521,The Quacks of Quedlinburg,2018,62,7.84,7.672,29179,/boardgame/244521/quacks-quedlinburg,https://cf.geekdo-images.com/pH5LgRL4mNRon-2NsSDb1Q__micro/img/pAWwGfiqFpn-kkzUKexMTZOvoA4=/fit-in/64x64/filters:strip_icc()/pic6137509.png,295947,265736,298069,199792,266192,199561,,,,,,,,,,,,,,,,,,,,,,
521,Crokinole,1876,63,7.94,7.671,13384,/boardgame/521/crokinole,https://cf.geekdo-images.com/7ejbxsn-UtLl3ehamuAEdw__micro/img/5UygdMxz3N_dTCkGlwVlgJXK_vg=/fit-in/64x64/filters:strip_icc()/pic79413.jpg,284083,140934,193042,221965,92415,172,324856,178900,12942,39463,262543,274364,206718,30549,11971,295374,36218,345972,11,279537,31481,28143,129622,12,156129,266830,47,254640
124742,Android: Netrunner,2012,64,7.88,7.67,27636,/boardgame/124742/android-netrunner,https://cf.geekdo-images.com/2ewHIIG_TRq8bYlqk0jIMw__micro/img/U5irACQ5P-7X9XyeDWj71ai-Ruw=/fit-in/64x64/filters:strip_icc()/pic3738560.jpg,72125,37111,257501,31481,39463,96848,463,38453,237182,58281,162886,127023,28143,169786,110327,245655,209010,150376,132531,147020,43111,101721,174430,36218,90137,170216,205716,171668
191189,Aeon's End,2016,65,8.01,7.669,13717,/boardgame/191189/aeons-end,https://cf.geekdo-images.com/d50LceHj6LIafa4S_qIsCg__micro/img/0El7f9TAr9UfvKlcsXYrBe8jEOc=/fit-in/64x64/filters:strip_icc()/pic3189350.jpg,241451,218417,121921,162886,291457,318184,316554,255984,201808,318182,169426,174430,316412,361545,199792,329082,233371,266507,223040,328871,300531,244115,285192,216734,170216,270844,169786,96848
159675,Fields of Arle,2014,66,8.08,7.656,8996,/boardgame/159675/fields-arle,https://cf.geekdo-images.com/0w8go6cfvlpgJKydHUkDtA__micro/img/9JEU9pIfwl2wUIE3fmCmjjH_iiM=/fit-in/64x64/filters:strip_icc()/pic2225968.png,143693,35677,300322,193738,70149,102680,,,,,,,,,,,,,,,,,,,,,,
266810,Paladins of the West Kingdom,2019,67,8.03,7.652,11024,/boardgame/266810/paladins-west-kingdom,https://cf.geekdo-images.com/4nhokcLdYoo6ulbZ1rmGgA__micro/img/WMzScSxJICvIyErl47KBVoskhnQ=/fit-in/64x64/filters:strip_icc()/pic4462987.png,296151,350316,247763,236457,170042,183394,,,,,,,,,,,,,,,,,,,,,,
28143,Race for the Galaxy,2007,68,7.76,7.652,48790,/boardgame/28143/race-galaxy,https://cf.geekdo-images.com/-DOqixs8uwKUvvWPKI4f9w__micro/img/Fz_qRw_ZHI9TfZXY0b4YZ6zfT7o=/fit-in/64x64/filters:strip_icc()/pic5261714.jpg,31260,132531,84876,63888,120677,68448,,,,,,,,,,,,,,,,,,,,,,
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,69,7.82,7.65,36953,/boardgame/121921/robinson-crusoe-adventures-cursed-island,https://cf.geekdo-images.com/FbFnaTx3aT5dM18K_bR_Pg__micro/img/brcsM5-72GgeBDQg3CSI6VB1Dqo=/fit-in/64x64/filters:strip_icc()/pic3165731.jpg,191189,188920,162886,154203,96848,192458,,,,,,,,,,,,,,,,,,,,,,
201808,Clank!: A Deck-Building Adventure,2016,70,7.82,7.647,31790,/boardgame/201808/clank-deck-building-adventure,https://cf.geekdo-images.com/DPjV1iI0ygo5Bl3XLNRiIg__micro/img/5hO7ln_bquTyy4Q__ksB4NT1gMs=/fit-in/64x64/filters:strip_icc()/pic4449526.jpg,233371,199792,328871,266507,169786,262712,,,,,,,,,,,,,,,,,,,,,,
229853,Teotihuacan: City of Gods,2018,71,7.93,7.643,15103,/boardgame/229853/teotihuacan-city-gods,https://cf.geekdo-images.com/wW5xjgBJcFyLaEWZwrYuKA__micro/img/kXVTBtcGC-5L706WFNJLAuZTovQ=/fit-in/64x64/filters:strip_icc()/pic4583626.jpg,276025,247763,126163,308765,310873,216132,,,,,,,,,,,,,,,,,,,,,,
171623,The Voyages of Marco Polo,2015,72,7.84,7.642,21753,/boardgame/171623/voyages-marco-polo,https://cf.geekdo-images.com/n1G7_aWToLAAB7Mqt8iwyA__micro/img/c8Ld-3E8S0devFlugLvyiAEESbY=/fit-in/64x64/filters:strip_icc()/pic2461346.png,126163,203993,164928,73439,216132,193738,,,,,,,,,,,,,,,,,,,,,,
68448,7 Wonders,2010,73,7.74,7.635,89621,/boardgame/68448/7-wonders,https://cf.geekdo-images.com/RvFVTEpnbb4NM7k0IF8V7A__micro/img/9glsOs7zoTbkVpfDt5SHWJm-kRA=/fit-in/64x64/filters:strip_icc()/pic860217.jpg,36218,129622,34635,84876,30549,822,132531,70323,28143,148228,31481,128621,173346,31260,54043,98778,230802,209685,40692,178900,3076,13,266192,107529,125618,284083,163412,102794
157354,Five Tribes,2014,74,7.78,7.631,34435,/boardgame/157354/five-tribes,https://cf.geekdo-images.com/dmo-WD6HZHVUPrbVHunaTw__micro/img/fxKL3MvU00YeEkfeLNdQGUl5rxA=/fit-in/64x64/filters:strip_icc()/pic2055255.jpg,123260,176494,164928,155426,170042,318084,,,,,,,,,,,,,,,,,,,,,,
